Variant	Ligand	Target	Run 1	Run 2	Run 3	Avg
wt	1a	8	-9.70	-9.60	-9.60	-9.63
wt	1g	10	-9.30	-9.00	-9.10	-9.13
wt	23a	12	-9.20	-9.10	-9.20	-9.17
wt	23g	12	-9.30	-9.00	-9.00	-9.10
wt	23h	8	-9.00	-8.90	-9.00	-8.97
wt	C12	12	-9.00	-8.90	-8.90	-8.93
wt	LBA	2	-7.30	-7.40	-7.30	-7.33
