#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0       63    0.352    2.469    0.575       81    7.160
       1       22    0.123    2.362    0.738      136    6.203
       2       21    0.117    2.224    0.745       36    5.915
       3       18    0.101    1.871    0.669       65    6.577
       4       16    0.089    2.311    0.823      167    6.307
       5       12    0.067    1.947    0.674      138    7.086
       6        8    0.045    1.913    0.768       93    7.788
       7        7    0.039    1.983    0.998       20    6.740
       8        4    0.022    1.254    0.607       15    6.445
       9        3    0.017    2.209    0.471       30    5.902
      10        2    0.011    0.472    0.000        3    6.658
      11        2    0.011    0.084    0.000       43    5.861
      12        1    0.006    0.000    0.000       91    6.347
